species,X,Y,PC1,PC2,PC3
insect.M.distribution110t3.1_PA1_RUN2,95.5153,46.077,-1873.01714807728,-13866.6966438278,906.16684192204
insect.M.distribution110t3.1_PA1_RUN2,94.3441,39.1797,7486.32111888308,-14192.9094871278,96.3771138975818
insect.M.distribution110t3.1_PA1_RUN2,4.6553,32.7977,8045.78378001387,3392.91582243888,-628.606180903293
insect.M.distribution110t3.1_PA1_RUN2,-37.4232,-36.3737,-3370.01640901145,-1586.37092626667,5513.4992713642
insect.M.distribution110t3.1_PA1_RUN2,11.3475,16.3257,8081.2244414601,3690.26025897477,517.707581365235
insect.M.distribution110t3.1_PA1_RUN2,90.1403,45.9403,1135.39854752632,-15266.4474767969,380.722384906734
insect.M.distribution110t3.1_PA1_RUN2,87.3065,47.234,3229.65237363195,-17011.4539352088,613.597611545116
insect.M.distribution110t3.1_PA1_RUN2,99.7244,38.3947,6791.01370713036,-16414.7567021451,20.2723344669961
insect.M.distribution110t3.1_PA1_RUN2,6.7488,35.3447,3634.26636141103,3541.8666882693,-322.012206083052
insect.M.distribution110t3.1_PA1_RUN2,-10.1325,-10.5253,10360.9175134474,-3756.07390188161,-153.740582076008
insect.M.distribution110t3.1_PA1_RUN2,69.188,37.4022,8611.20418260677,-4022.79143344018,467.029009165501
