background,x,y,PC1,PC2,PC3
background,91.3,72.1,11450.9687563974,-513.759679725789,-813.717252869548
background,94.3,57.7,10935.9210940552,-367.259465870178,-836.243742120184
background,34.7,55.9,6294.53815806572,2338.44338164342,-1421.37468163501
background,91.5,49.7,-765.657991126538,-9179.85408314642,758.88389526734
background,21.3,48.9,9011.16141485626,2382.56794035099,-1064.49412929644
background,41.1,43.9,8384.42664067645,1992.78335115199,-83.9325865699075
background,29.9,43.5,8793.3544743592,1853.74884963675,-88.8517818338842
background,17.3,41.9,9708.34425060848,1157.14930060422,-590.51820864766
background,20.3,40.5,10017.7702227111,-322.291505902978,-697.347231164528
background,56.3,40.1,7077.15513751263,3642.48428437814,580.294860232785
background,16.7,39.7,10199.9749707046,1015.57272558055,-708.282673705892
background,15.3,36.1,8910.90466920277,2008.42823081676,-842.940255127351
background,34.3,35.9,9439.01530354956,3628.22628291127,-581.228623286394
background,-33.1,34.1,-5067.7729782709,88.7195349096814,5187.40772538595
background,-31.1,30.9,-247.294088008057,-142.524443935608,2068.54268681427
background,83.3,24.1,5504.21885831001,894.77575105536,985.728817047595
background,104.3,18.7,8721.24137250122,-6879.04958568606,11.1751106908137
background,110.1,13.5,9663.86489443836,-485.679612812875,-323.388743385149
background,-14.1,7.3,10388.9883268287,1599.14057385703,-541.490346841248
background,13.9,5.89999999999999,10191.6234049456,1091.82797113203,-414.646513713966
background,37.9,5.89999999999999,10554.5166383093,3608.34181677858,-682.400299281426
background,-4.89999999999998,2.09999999999999,11499.4468127356,-556.267921065891,-823.004780196016
background,20.7,1.5,11513.0138491813,2023.54516251994,-835.202910312089
background,30.1,0.299999999999997,11521.8463869639,1700.81436044833,-835.741319961531
background,-13.1,-1.90000000000001,11502.0657197408,711.52780668167,-819.286829275714
background,20.9,-1.90000000000001,11522.4093194785,2277.47403579283,-839.354509404903
background,21.9,-3.7,11522.6917318065,2149.97525003786,-838.415761232875
background,10.7,-6.5,11239.044788586,-55.5119965143963,-840.116325461262
background,-21.5,-16.1,7080.23884635081,867.884313793662,913.562543307085
background,-25.1,-16.5,7063.02031280777,193.17151432352,935.281965380977
background,46.7,-19.3,7843.45854089318,3641.32017002157,170.632211449085
background,-2.5,-19.9,7232.73386285113,-6817.8981547235,729.657099644769
background,-10.3,-27.7,7913.17909866961,-7729.79243596729,-624.140272152169
background,-4.89999999999998,-29.3,8059.97407077901,678.775086126434,-567.384203257668
background,41.3,-29.7,7247.52823068359,854.618082303468,-59.0554312192896
background,-26.7,-32.3,-4006.92014640565,1847.14178781041,579.160161547788
background,-10.7,-34.1,-2521.44515514208,-2880.79877706307,2101.53271656221
background,42.1,-38.7,-173.492629812926,459.394264475094,2767.53210382702
background,-29.3,-40.5,8859.73862179009,-1310.84178182698,-604.542352638735
background,34.9,-46.3,7332.50419914939,-4542.41992494844,235.329073311199
background,46.5,-47.1,6775.07225445514,-331.812194373498,501.550697451597
background,114.9,-49.5,3841.42452564079,3445.90938209408,453.328875889174
background,62.7,-55.5,7490.16925114961,-913.331006632355,-693.888092008387
background,-1.29999999999998,-55.7,8304.3586299105,3225.37887200563,-958.77181109415
background,16.3,-56.5,7205.29152786847,-1708.96137606719,-713.277836621892
background,80.3,-57.7,2047.52537162022,-1359.91488853933,25.8929549610222
background,13.1,-58.5,7200.98576629202,-1273.72029198813,-1109.51494159681
background,30.9,-59.3,7016.53156483298,1281.87586435527,-683.854354049274
background,-6.09999999999999,-61.3,4614.2385318316,1977.81400918089,-849.737947479065
background,37.5,-61.9,-3571.53665441235,1611.10549103779,130.100347486023
background,58.3,-62.7,-3613.50842854202,-1573.97982558809,545.396529452903
background,111.5,-66.5,-28151.1361366878,-65.7968227092341,6221.30993411504
background,48.9,-69.1,-18593.091104945,-3091.69703502882,-140.169517364003
background,24.3,-69.7,-7515.30665084464,-4750.52548347856,-2151.4835159033
background,21.5,-70.9,-7567.29984153389,-10469.7965531011,-2570.38242546004
background,111.7,-73.9,-76575.1930446095,2192.40913757459,16794.3961301709
background,-0.299999999999983,-75.1,-94004.9705061117,2948.04064480901,-10321.9876486631
background,104.7,-76.1,-73586.2426347724,912.179374556264,-152.923420306966
background,65.7,-76.3,-34363.5982784507,-4524.82667093131,5666.72019743865
background,60.9,-76.5,-23526.7023717167,-2506.54222297375,1156.06499571689
