background,x,y,PC1,PC2,PC3
background,173.7,79.1,6050.83659006913,838.241068654743,-149.143942860362
background,-174.3,77.9,5506.88701182871,2866.73809009194,-15.7854328930757
background,-129.9,77.9,5602.55916549326,578.644582298041,14.9698536291099
background,-0.0999999999999943,72.7,-122200.12010352,-4021.87245750589,5639.15206914455
background,-8.09999999999999,69.1,-26475.9936614511,-718.423313980415,-2406.21652040263
background,5.70000000000002,64.3,-35800.0871960684,-520.813109727918,1125.02523605484
background,-13.7,60.3,-5592.37220681885,-2514.02904462244,-11.8337301533167
background,-34.3,58.3,550.115605644999,755.796930470755,-32.0594450465225
background,-42.5,54.3,5007.09348641998,56.523906752519,-194.085947289138
background,-17.9,50.5,-4049.9225279097,3142.89077373596,198.217114286177
background,13.3,44.7,1192.88921146421,2362.87682023762,-48.1037888818476
background,41.1,39.9,2396.42238821707,2709.15135270445,563.867170704184
background,16.5,30.7,2341.31741398438,3170.09775656411,277.014840044514
background,103.3,28.3,2182.50933128553,1222.27007989763,793.631496456051
background,74.3,27.5,1744.80039314827,896.095097031147,579.546021661014
background,48.9,20.9,2562.4085078997,1281.01958536071,371.81362113393
background,-9.89999999999998,15.9,1562.73299230481,-173.296881320764,909.357840160465
background,37.5,13.1,3030.25705803792,2326.7528310927,700.949934972668
background,106.5,12.3,4951.68824379236,1581.63662929829,69.7413883873539
background,117.9,10.3,6561.34934122296,-1224.23540557322,-35.4723015375948
background,117.3,10.1,6561.34934122296,-1224.23540557322,-35.4723015375948
background,1.10000000000002,8.3,3505.92574876489,-1344.51890637391,440.520211420297
background,35.1,8.3,4464.1857079022,1340.55018062622,276.344915517233
background,37.5,8.3,4506.73087542963,1587.68217955523,280.387498048321
background,114.1,7.3,6595.34534145697,2733.75505514074,33.9834702771714
background,22.9,6.3,5220.37318177347,1081.55926903185,-78.7995317692672
background,43.1,2.09999999999999,6560.9817132645,2805.8047731588,9.712822216094
background,31.9,1.3,6564.88188769301,870.385461935957,-27.0571615007603
background,8.70000000000002,-0.300000000000011,6557.61347494484,-1020.21597235764,-68.7327095992477
background,-50.3,-0.5,6526.73237297431,-318.981025097155,-50.6166814048733
background,13.1,-0.700000000000003,6555.43197082583,254.682623281291,-44.3308826572779
background,-52.3,-3.5,6519.93630511059,1284.04631274212,-22.0683608068911
background,0.5,-3.90000000000001,5114.87478518776,3016.0992452493,-160.655057537515
background,35.5,-5.10000000000001,5177.55265841271,807.316120682778,-116.857187168308
background,33.3,-6.30000000000001,5177.54785584881,1458.5866678518,-106.116173376135
background,-51.7,-9.10000000000001,3788.0772334315,1266.46397528142,430.342126729427
background,13.5,-10.9,3322.21949113566,-539.876735452169,544.873680198105
background,-34.5,-14.3,2986.21618176128,691.783156361211,620.376791642376
background,-37.5,-15.3,4182.95411569679,-106.919023101895,31.8226190555981
background,57.5,-19.5,3862.04916917085,-284.775974641361,-460.304561935178
background,17.5,-20.3,3960.94675887218,1274.66115373941,-120.885988474782
background,-28.1,-22.7,3975.533278665,-5344.44214635871,-293.7419235317
background,62.5,-24.1,2041.55407757131,-568.343778279257,-42.582164497004
background,57.9,-27.9,2080.34383678369,-2335.47233177446,76.9048691425118
background,-56.3,-30.5,1322.99192840015,-9221.13148561816,421.320741524608
background,9.90000000000001,-38.9,1171.30828268286,-1483.02655868777,328.395148235435
background,100.5,-49.3,-5572.96959584601,2880.47936256802,299.389666116295
background,131.3,-49.7,4412.43233305384,-349.941424768929,-555.30089282027
background,109.5,-52.1,-8155.61348361726,-2955.39624711604,-609.348674203041
background,141.7,-56.1,5544.43495784232,1110.42210800991,-84.3469575548321
background,147.1,-56.5,2260.91001533056,1197.74297079498,-944.144942527463
background,136.5,-58.9,4035.42197768415,1255.64712910683,-673.753191447417
background,110.1,-60.3,-7282.78060732758,1602.1138702328,-2002.82289480398
background,144.7,-60.3,-10312.4504431209,2787.06631309597,-1644.64335236855
background,120.1,-69.5,-30583.8547316036,2669.8035272678,-7728.08129371527
background,118.9,-70.7,-40626.1528329067,3127.01334435615,-10326.9853639443
background,115.5,-70.9,-74460.9647087794,2985.79952092311,-7825.96570956884
background,22.9,-77.1,4349.31228774509,-7533.51454174015,-744.10417782047
background,8.10000000000002,-80.1,4247.30191692473,-1283.65616373141,-592.982550076485
background,59.1,-80.5,4152.28710969242,-7662.70733034513,-1051.29854128046
