species,X,Y,PC1,PC2,PC3
insect.M.distribution240t5.2_PA2_RUN2,-8.8925,-67.8316,1525.00085457022,-2581.31157556775,-1660.46251966807
insect.M.distribution240t5.2_PA2_RUN2,17.5665,16.2724,4205.80413786475,-1417.80625368528,633.448547942829
insect.M.distribution240t5.2_PA2_RUN2,60.181,36.5001,2543.1290027618,-5929.61782932607,357.57129075465
insect.M.distribution240t5.2_PA2_RUN2,20.186,5.5223,8083.92834682028,3848.10675940478,-1708.20881526168
insect.M.distribution240t5.2_PA2_RUN2,-37.9346,-51.1023,7852.40714903705,-1796.84850613935,-1642.00359936579
insect.M.distribution240t5.2_PA2_RUN2,84.5325,38.9042,2425.36095235947,-6127.69981577125,345.597322206159
insect.M.distribution240t5.2_PA2_RUN2,-6.1894,-67.6102,394.695301032312,-6156.88225465864,-1912.22127831178
insect.M.distribution240t5.2_PA2_RUN2,16.3018,14.4689,5248.85088306094,-2085.08690683988,64.0403471216803
insect.M.distribution240t5.2_PA2_RUN2,84.5325,38.9042,2425.36095235947,-6127.69981577125,345.597322206159
insect.M.distribution240t5.2_PA2_RUN2,15.9908,13.9658,5261.08309356114,-1924.05840564171,61.4025888545345
insect.M.distribution240t5.2_PA2_RUN2,62.3107,44.6587,-879.080791071538,-4185.4254654027,363.882808379778
insect.M.distribution240t5.2_PA2_RUN2,14.8909,5.0185,8044.99918710599,3334.35630865025,-1699.62717890342
insect.M.distribution240t5.2_PA2_RUN2,19.0347,8.5284,6778.70476323042,3944.54491128592,-848.421020421416
insect.M.distribution240t5.2_PA2_RUN2,14.8909,5.0185,8044.99918710599,3334.35630865025,-1699.62717890342
insect.M.distribution240t5.2_PA2_RUN2,101.564,19.9446,4925.3084507353,2679.53966805599,-1133.30265320665
insect.M.distribution240t5.2_PA2_RUN2,16.3018,14.4689,5248.85088306094,-2085.08690683988,64.0403471216803
insect.M.distribution240t5.2_PA2_RUN2,60.1332,36.5402,2543.1290027618,-5929.61782932607,357.57129075465
insect.M.distribution240t5.2_PA2_RUN2,88.9264,40.8437,2521.64191457455,-7713.04321460905,377.106692134262
insect.M.distribution240t5.2_PA2_RUN2,-37.9346,-51.1023,7852.40714903705,-1796.84850613935,-1642.00359936579
insect.M.distribution240t5.2_PA2_RUN2,14.8909,5.0185,8044.99918710599,3334.35630865025,-1699.62717890342
insect.M.distribution240t5.2_PA2_RUN2,-8.8925,-67.8316,1525.00085457022,-2581.31157556775,-1660.46251966807
