species,X,Y,PC1,PC2,PC3
insect.M.distribution140t7.3_PA1_RUN1,19.1228,40.1953,10015.6391395319,647.179797746397,-704.507505086855
insect.M.distribution140t7.3_PA1_RUN1,7.9496,42.4842,10381.0841377486,2638.44000850056,-771.703061687696
insect.M.distribution140t7.3_PA1_RUN1,7.764,42,10380.8406786928,2749.43782395573,-772.522859098085
insect.M.distribution140t7.3_PA1_RUN1,19.0675,40.1875,10015.6391395319,647.179797746397,-704.507505086855
insect.M.distribution140t7.3_PA1_RUN1,97.4127,45.5087,2077.85580195996,-8634.01793488032,666.214002072934
insect.M.distribution140t7.3_PA1_RUN1,97.3914,45.5063,5589.11271127181,-8631.97231989779,-210.372558793826
insect.M.distribution140t7.3_PA1_RUN1,7.9496,42.4842,10381.0841377486,2638.44000850056,-771.703061687696
insect.M.distribution140t7.3_PA1_RUN1,30.6039,9.2257,8247.09707661321,3640.16730390061,444.605156293486
insect.M.distribution140t7.3_PA1_RUN1,7.794,42.0018,10380.8406786928,2749.43782395573,-772.522859098085
insect.M.distribution140t7.3_PA1_RUN1,97.3811,45.5026,5589.11271127181,-8631.97231989779,-210.372558793826
insect.M.distribution140t7.3_PA1_RUN1,18.9391,40.176,10015.6391395319,647.179797746397,-704.507505086855
insect.M.distribution140t7.3_PA1_RUN1,97.3914,45.5063,5589.11271127181,-8631.97231989779,-210.372558793826
insect.M.distribution140t7.3_PA1_RUN1,8.2003,43.6498,10380.5630173503,2875.2590817563,-773.451990136755
insect.M.distribution140t7.3_PA1_RUN1,97.4082,45.5131,2077.85580195996,-8634.01793488032,666.214002072934
insect.M.distribution140t7.3_PA1_RUN1,9.445,41.9708,10380.0325021908,3117.2320128873,-775.239746821993
insect.M.distribution140t7.3_PA1_RUN1,97.3941,45.5078,5589.11271127181,-8631.97231989779,-210.372558793826
insect.M.distribution140t7.3_PA1_RUN1,19.0979,40.184,10015.6391395319,647.179797746397,-704.507505086855
insect.M.distribution140t7.3_PA1_RUN1,97.3889,45.5044,5589.11271127181,-8631.97231989779,-210.372558793826
insect.M.distribution140t7.3_PA1_RUN1,7.794,42.0018,10380.8406786928,2749.43782395573,-772.522859098085
insect.M.distribution140t7.3_PA1_RUN1,19.0968,40.197,10015.6391395319,647.179797746397,-704.507505086855
insect.M.distribution140t7.3_PA1_RUN1,97.3941,45.5078,5589.11271127181,-8631.97231989779,-210.372558793826
insect.M.distribution140t7.3_PA1_RUN1,19.0675,40.1875,10015.6391395319,647.179797746397,-704.507505086855
insect.M.distribution140t7.3_PA1_RUN1,7.764,42,10380.8406786928,2749.43782395573,-772.522859098085
