species,X,Y,PC1,PC2,PC3
insect.M.distribution210t9.1_PA1_RUN2,-0.5947,35.4562,-9109.98370663096,4560.91201242267,2100.67872181297
insect.M.distribution210t9.1_PA1_RUN2,109.4701,32.2945,-467.124617944051,-198.001076478106,-582.179653840398
insect.M.distribution210t9.1_PA1_RUN2,3.4722,-47.3345,2274.144872274,-6948.49751459104,171.4663204818
insect.M.distribution210t9.1_PA1_RUN2,42.7197,58.9328,267.497217893147,1935.44272646785,-1171.28741541559
insect.M.distribution210t9.1_PA1_RUN2,42.5748,59.0753,267.497217893147,1935.44272646785,-1171.28741541559
insect.M.distribution210t9.1_PA1_RUN2,94.3811,-56.8496,-1073.77083092272,547.850169189753,-1423.59674048214
insect.M.distribution210t9.1_PA1_RUN2,9.7282,37.1139,-5353.66573221494,3152.98432786444,18.1039190831553
insect.M.distribution210t9.1_PA1_RUN2,-0.5947,35.4562,-9109.98370663096,4560.91201242267,2100.67872181297
insect.M.distribution210t9.1_PA1_RUN2,94.2455,-56.8295,-1073.77083092272,547.850169189753,-1423.59674048214
insect.M.distribution210t9.1_PA1_RUN2,-21.64,17.5134,-494.044330703102,-4031.57330729657,1486.42648291526
insect.M.distribution210t9.1_PA1_RUN2,94.4103,-56.7947,-1087.59842235741,450.293532082146,-1421.40561952408
insect.M.distribution210t9.1_PA1_RUN2,64.405,-61.9631,-4306.46071130201,-1295.48558459705,-1337.26389695501
insect.M.distribution210t9.1_PA1_RUN2,42.5748,59.0753,267.497217893147,1935.44272646785,-1171.28741541559
insect.M.distribution210t9.1_PA1_RUN2,3.211,-24.646,1296.79494224034,-1956.4809734515,325.558643520345
insect.M.distribution210t9.1_PA1_RUN2,114.6257,33.9864,-1065.86379190992,-1655.65717998761,-523.365441550363
insect.M.distribution210t9.1_PA1_RUN2,-0.4848,35.7289,-9109.98424309607,4560.91126516645,2100.67942764568
insect.M.distribution210t9.1_PA1_RUN2,-1.0451,34.3504,-9099.46048697988,4635.19930870927,2099.0222535726
insect.M.distribution210t9.1_PA1_RUN2,113.3106,34.8475,-744.698198502792,610.110141682891,-574.305235219161
insect.M.distribution210t9.1_PA1_RUN2,94.353,-56.7876,-1073.77083092272,547.850169189753,-1423.59674048214
insect.M.distribution210t9.1_PA1_RUN2,94.3496,-56.8636,-1073.77083092272,547.850169189753,-1423.59674048214
insect.M.distribution210t9.1_PA1_RUN2,-0.5871,35.4262,-9109.98370663096,4560.91201242267,2100.67872181297
insect.M.distribution210t9.1_PA1_RUN2,76.1298,62.4036,-14195.9063010636,-14446.084790269,-3190.66716543837
insect.M.distribution210t9.1_PA1_RUN2,8.1835,38.0236,-4567.41606112144,4024.73996058664,1259.37833473506
insect.M.distribution210t9.1_PA1_RUN2,94.249,-56.8313,-1073.77083092272,547.850169189753,-1423.59674048214
insect.M.distribution210t9.1_PA1_RUN2,3.4728,-46.3216,2027.38937349254,-8689.21462789446,210.618610599063
insect.M.distribution210t9.1_PA1_RUN2,-24.2727,12.3566,868.661938613326,-2722.65862378657,1071.88606718149
insect.M.distribution210t9.1_PA1_RUN2,-0.5871,35.4262,-9109.98370663096,4560.91201242267,2100.67872181297
insect.M.distribution210t9.1_PA1_RUN2,3.4722,-47.3345,2274.144872274,-6948.49751459104,171.4663204818
insect.M.distribution210t9.1_PA1_RUN2,94.3634,-56.7945,-1073.77083092272,547.850169189753,-1423.59674048214
insect.M.distribution210t9.1_PA1_RUN2,8.2939,38.8609,-4587.32005249001,3884.35863259828,1262.53949431745
insect.M.distribution210t9.1_PA1_RUN2,-0.5831,35.3405,-9109.98370663096,4560.91201242267,2100.67872181297
